id,rfm_r,rfm_f,rfm_m
821,27612,2,22980.0
822,26628,3,46145.0
823,34357,4,95400.0
826,32533,1,29990.0
827,29124,1,7992.0
828,19675,6,17465.0
829,29412,4,62240.0
830,396,9,18088.0
832,28692,8,616640.0
835,3276,7,488245.0
836,20868,5,35016.5
837,34741,8,307400.0
839,32845,1,9890.0
840,29316,1,13990.0
842,35029,1,6990.0
843,31165,1,18990.0
845,27036,6,755640.0
847,28140,3,78970.0
848,28116,2,9378.0
849,39877,1,5790.0
851,33229,3,41910.0
852,28668,1,299.0
854,35989,2,41960.0
855,33493,1,1390.0
860,27636,1,6790.0
861,35797,3,35494.0
865,31069,3,87810.0
866,33253,10,190100.0
867,31381,1,5990.0
870,35581,4,89920.0
871,34045,1,10990.0
872,25884,16,238032.78
873,31453,2,73960.0
874,1092,23,88470.0
876,29124,11,117130.0
877,29028,2,21960.0
878,31165,3,43970.0
879,2182,3,56488.0
881,41485,1,18990.0
883,35773,25,1786950.0
884,32941,1,4790.0
885,33181,1,29990.0
887,34597,4,95040.0
888,16284,25,665712.0
889,31141,2,17960.0
890,30853,3,63810.0
891,1644,39,265070.5
893,28596,3,73950.0
894,31621,3,45035.0
897,16044,7,68896.5
898,28020,1,2090.0
899,33157,2,53560.0
900,31813,2,49978.0
902,23052,9,201240.0
904,29628,1,3390.0
905,3156,18,312829.0
906,30901,2,10780.0
907,8291,2,1489.0
908,30925,2,12980.0
909,2292,36,915925.5
911,29604,12,704780.0
913,27252,1,55990.0
915,10500,29,1136230.8
920,41245,1,329.0
921,31405,2,88980.0
925,1932,24,924965.1
926,32797,2,71960.0
927,20628,21,517556.0
928,27636,2,33960.0
929,3996,2,38989.0
931,27204,4,79940.0
932,30565,2,73960.0
934,34525,1,39990.0
935,28164,4,147840.0
936,31717,1,10990.0
937,33685,3,53910.0
941,31117,1,13990.0
942,28068,2,35160.0
943,34069,1,4290.0
945,3708,6,158914.0
946,32101,1,12990.0
949,4009,3,56986.0
951,12156,2,32480.0
952,19596,9,222480.0
955,34525,2,100044.0
956,44749,2,11978.0
957,34669,2,7580.0
958,28836,10,1092631.0
959,29532,1,4990.0
960,30973,6,67529.55
963,25596,13,686018.0
964,32845,1,6990.0
965,31573,10,335100.0
966,35173,8,472306.0
967,34309,5,298830.0
968,31981,2,59960.0
970,27468,3,21810.0
971,31549,14,1562122.0
972,26604,5,45730.0
973,43621,1,15990.0
974,27060,2,24580.0
975,29100,6,256440.0
976,25380,7,836392.4
978,19620,34,2597697.0
979,18540,14,231280.0
980,32605,1,59990.0
981,34861,1,29990.0
982,32029,2,77764.0
984,36037,6,208143.0
987,31933,3,19950.0
988,25764,26,915578.1
989,35365,3,52110.0
990,32293,5,275250.0
992,29292,1,2232.0
994,29292,6,20810.0
995,30253,1,5590.0
996,26388,6,171000.0
998,30517,3,54810.0
1000,28668,2,13960.0
1001,35677,6,128016.0
1002,1044,11,202414.0
1003,3036,8,171368.0
1005,31549,1,249.0
1006,33877,14,1087898.0
1007,27684,3,32638.0
1008,27060,11,1059322.0
1009,13819,2,22980.0
1010,26748,4,87920.0
1011,31981,1,1090.0
1014,28020,2,42980.0
1017,25596,13,401956.8
1020,28812,1,23990.0
1022,39709,1,25990.0
1023,28764,1,14990.0
1024,29652,2,15960.0
1025,27252,1,499.0
1026,28188,4,27560.0
1028,30925,2,39978.0
1029,30084,2,49960.0
1030,25668,6,539887.0
1034,30901,1,34191.0
1035,31717,7,121980.0
1036,24204,42,1996348.75
1037,28284,3,13004.4
1038,38341,3,1040192.0
1039,14508,11,180488.0
1040,732,23,69433.75
